jobtitle,count
"Account Coordinator",2
"Account Executive",386
"Account Manager",188
"Accountant I",62
"Accountant II",65
"Accountant III",71
"Accountant IV",70
"Accounting Assistant I",74
"Accounting Assistant II",69
"Accounting Assistant III",59
"Accounting Assistant IV",68
Actuary,20
"Administrative Assistant",27
"Administrative Assistant I",154
"Administrative Assistant II",37
"Administrative Assistant III",14
"Administrative Assistant IV",6
"Administrative Officer",45
"Analog Circuit Design manager",36
"Analyst Programmer",290
"Assistant Manager",39
"Assistant Professor",1
"Assistant Trainer",139
"Associate Professor",1
Attorney,33
"Automation Specialist I",22
"Automation Specialist II",26
"Automation Specialist III",11
"Automation Specialist IV",15
"Budget/Accounting Analyst I",120
"Budget/Accounting Analyst II",130
"Budget/Accounting Analyst III",130
"Budget/Accounting Analyst IV",135
"Business Analyst",552
"Business Development Manager",5
"Business Systems Development Analyst",272
"Chief Design Engineer",76
"Community Outreach Specialist",21
"Compensation Analyst",25
"Computer Systems Analyst I",71
"Computer Systems Analyst II",75
"Computer Systems Analyst III",55
"Computer Systems Analyst IV",53
"Content Developer",42
"Content Developer II",43
"Content Developer III",42
"Cost Accountant",240
"Customer Success Manager",151
"Data Coordiator",284
"Data Visualization Specialist",346
